Target,Build,Load,Config,DB,GUI,Chat,SePay,Card,QR,Rewards,OfflineReward,Discord,HTTP,Placeholder,Stats,Folia,Shutdown,Recovery,Status
fabric-umbrella,UNSUPPORTED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,UNSUPPORTED
fabric-1.14.2,UNSUPPORTED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,UNSUPPORTED
fabric-1.14.3,UNSUPPORTED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,UNSUPPORTED
fabric-1.14.4,SOURCE_ONLY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SOURCE_ONLY
fabric-1.15,SOURCE_ONLY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SOURCE_ONLY
fabric-1.15.1,SOURCE_ONLY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SOURCE_ONLY
fabric-1.15.2,SOURCE_ONLY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SOURCE_ONLY
fabric-1.16.1,SOURCE_ONLY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SOURCE_ONLY
fabric-1.16.2,SOURCE_ONLY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SOURCE_ONLY
fabric-1.16.3,SOURCE_ONLY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SOURCE_ONLY
fabric-1.16.4,SOURCE_ONLY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SOURCE_ONLY
fabric-1.16.5,PASS,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,N/A,UNTESTED,UNTESTED,BUILDABLE
fabric-1.17.1,PASS,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,N/A,UNTESTED,UNTESTED,BUILDABLE
fabric-1.18,PASS,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,N/A,UNTESTED,UNTESTED,BUILDABLE
fabric-1.18.1,PASS,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,N/A,UNTESTED,UNTESTED,BUILDABLE
fabric-1.18.2,PASS,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,N/A,UNTESTED,UNTESTED,BUILDABLE
fabric-1.19,PASS,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,N/A,UNTESTED,UNTESTED,BUILDABLE
fabric-1.19.1,PASS,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,N/A,UNTESTED,UNTESTED,BUILDABLE
fabric-1.19.2,PASS,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,N/A,UNTESTED,UNTESTED,BUILDABLE
fabric-1.19.3,PASS,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,N/A,UNTESTED,UNTESTED,BUILDABLE
fabric-1.19.4,PASS,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,N/A,UNTESTED,UNTESTED,BUILDABLE
fabric-1.20,PASS,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,N/A,UNTESTED,UNTESTED,BUILDABLE
fabric-1.20.1,PASS,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,N/A,UNTESTED,UNTESTED,BUILDABLE
fabric-1.20.2,PASS,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,N/A,UNTESTED,UNTESTED,BUILDABLE
fabric-1.20.3,PASS,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,N/A,UNTESTED,UNTESTED,BUILDABLE
fabric-1.20.4,PASS,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,N/A,UNTESTED,UNTESTED,BUILDABLE
fabric-1.20.5,PASS,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,N/A,UNTESTED,UNTESTED,BUILDABLE
